t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
16456,0,0,0,0.0,1e-06
16457,0,0,0,0.0,1e-06
16458,0,0,0,0.0,1e-06
16459,0,0,0,0.0,1e-06
16460,0,0,0,0.0,1e-06
16461,0,0,0,0.0,1e-06
16462,0,0,0,0.0,1e-06
16463,0,0,0,0.0,1e-06
16464,0,0,0,0.0,1e-06
16465,0,0,0,0.0,1e-06
16466,0,0,0,0.0,1e-06
16467,0,0,0,0.0,1e-06
16468,0,0,0,0.0,1e-06
16469,0,0,0,0.0,1e-06
16470,0,0,0,0.0,1e-06
16471,0,0,0,0.0,1e-06
16472,0,0,0,0.0,1e-06
16473,0,0,0,0.0,1e-06
16474,0,0,0,0.0,1e-06
16475,0,0,0,0.0,1e-06
16476,0,0,0,0.0,1e-06
16477,0,0,0,0.0,1e-06
16478,0,0,0,0.0,1e-06
16479,0,0,0,0.0,1e-06
16480,0,0,0,0.0,1e-06
16481,0,0,0,0.0,1e-06
16482,0,0,0,0.0,1e-06
16483,0,0,0,0.0,1e-06
16484,0,0,0,0.0,1e-06
16485,0,0,0,0.0,1e-06
16486,0,0,0,0.0,1e-06
16487,0,0,0,0.0,1e-06
16488,0,0,0,0.0,1e-06
16489,0,0,0,0.0,1e-06
16490,0,0,0,0.0,1e-06
16491,0,0,0,0.0,1e-06
16492,0,0,0,0.0,1e-06
16493,0,0,0,0.0,1e-06
16494,0,0,0,0.0,1e-06
16495,0,0,0,0.0,1e-06
16496,0,0,0,0.0,1e-06
16497,0,0,0,0.0,1e-06
16498,0,0,0,0.0,1e-06
16499,0,0,0,0.0,1e-06
16500,0,0,0,0.0,1e-06
16501,0,0,0,0.0,1e-06
16502,0,0,0,0.0,1e-06
16503,0,0,0,0.0,1e-06
16504,0,0,0,0.0,1e-06
16505,0,0,0,0.0,1e-06
16506,0,0,0,0.0,1e-06
16507,0,0,0,0.0,1e-06
16508,0,0,0,0.0,1e-06
16509,0,0,0,0.0,1e-06
16510,0,0,0,0.0,1e-06
16511,0,0,0,0.0,1e-06
16512,0,0,0,0.0,1e-06
16513,0,0,0,0.0,1e-06
16514,0,0,0,0.0,1e-06
16515,0,0,0,0.0,1e-06
16516,0,0,0,0.0,1e-06
16517,0,0,0,0.0,1e-06
16518,0,0,0,0.0,1e-06
16519,0,0,0,0.0,1e-06
16520,0,0,0,0.0,1e-06
16521,0,0,0,0.0,1e-06
16522,0,0,0,0.0,1e-06
16523,0,0,0,0.0,1e-06
16524,0,0,0,0.0,1e-06
16525,0,0,0,0.0,1e-06
16526,0,0,0,0.0,1e-06
16527,0,0,0,0.0,1e-06
16528,0,0,0,0.0,1e-06
16529,0,0,0,0.0,1e-06
16530,0,0,0,0.0,1e-06
16531,0,0,0,0.0,1e-06
16532,0,0,0,0.0,1e-06
16533,0,0,0,0.0,1e-06
16534,0,0,0,0.0,1e-06
16535,0,0,0,0.0,1e-06
16536,0,0,0,0.0,1e-06
16537,0,0,0,0.0,1e-06
16538,0,0,0,0.0,1e-06
16539,0,0,0,0.0,1e-06
16540,0,0,0,0.0,1e-06
16541,0,0,0,0.0,1e-06
